STABBREV,STATNAM,POP1980,POP1990,POP2000,POP2010,POP2020
TN,Tennessee,21390,21844,25522,27769,27842
WV,West Virginia,28734,27803,28262,29405,27932
VA,Virginia,80166,75410,24533,28001,27947
GA,Georgia,14610,17113,21757,26424,27957
GA,Georgia,19151,21189,23668,27695,27981
VA,Virginia,,,19279,24286,27982
IL,Illinois,31802,30798,31183,30305,27987
MS,Mississippi,24556,24137,28423,28264,27990
GA,Georgia,10120,13006,19944,27144,28003
OH,Ohio,24304,25533,28241,29380,28050
MS,Mississippi,20119,21432,25370,28886,28064
NC,North Carolina,11089,13736,18190,23547,28100
KY,Kentucky,20046,19561,22554,26499,28114
VA,Virginia,,,23585,26203,28120
IN,Indiana,25401,25948,27600,27636,28180
IN,Indiana,21932,23717,27223,28262,28182
NM,New Mexico,26204,27676,31002,29514,28185
FL,Florida,15289,18486,22259,27115,28259
AR,Arkansas,16203,18654,25357,27446,28260
MO,Missouri,36324,33112,33155,31953,28283
IL,Illinois,31686,30728,30652,30104,28288
VA,Virginia,25522,25466,27599,29235,28290
SC,South Carolina,31083,29114,30722,32062,28292
FL,Florida,20023,22515,26088,28520,28303
SD,South Dakota,20885,22698,25897,27227,28325
MS,Mississippi,41525,37341,37947,32317,28339
GA,Georgia,16579,20739,23639,28669,28347
MS,Mississippi,26503,27592,28757,29449,28368
TX,Texas,24062,25055,27026,28111,28409
WI,Wisconsin,26555,26993,29641,28743,28415
UT,Utah,14620,16259,22763,27822,28437
TN,Tennessee,28285,27514,29475,28522,28440
TX,Texas,29430,29982,30438,30464,28454
KY,Kentucky,33763,30283,29390,28712,28473
OK,Oklahoma,25995,26897,26142,27469,28513
MO,Missouri,28638,27682,28289,28781,28525
ID,Idaho,21565,21205,29130,27038,28666
MO,Missouri,29009,28895,29705,29968,28672
MN,Minnesota,23434,23239,25426,27703,28674
NC,North Carolina,18933,20170,24298,27444,28774
SC,South Carolina,14504,15487,20678,24777,28791
MD,Maryland,26498,28138,29846,30097,28806
TN,Tennessee,24416,24860,27776,28237,28837
MN,Minnesota,19871,21264,26530,29750,28876
MI,Michigan,32315,30605,31314,29598,28907
CA,California,21350,24798,26453,28122,28917
OH,Ohio,30458,30464,29659,28744,28931
KS,Kansas,26098,26004,27507,28452,28934
OH,Ohio,27467,27466,28433,29030,28951
IN,Indiana,24398,24616,26523,28818,28995
MI,Michigan,26365,25537,28274,28705,29052
MS,Mississippi,23789,24800,28684,29676,29087
WV,West Virginia,40418,35233,32667,30676,29095
CO,Colorado,22513,21939,27171,28159,29111
VA,Virginia,33794,33264,29245,30042,29155
SC,South Carolina,34179,33899,35466,33062,29183
OH,Ohio,30098,30954,31069,30934,29220
TX,Texas,13580,18828,23552,26604,29268
VT,Vermont,22739,26149,28226,28936,29277
AL,Alabama,30041,29830,31214,30776,29341
GA,Georgia,25495,25511,28240,27842,29367
ME,Maine,27098,29008,29467,30768,29456
MS,Mississippi,38035,35356,34340,32297,29538
NC,North Carolina,30491,28663,32278,35190,29606
GA,Georgia,29360,30228,33200,32819,29616
WY,Wyoming,21639,23178,25786,28205,29624
NY,New York,29710,31859,31582,32749,29714
VA,Virginia,33366,32370,33081,32208,29800
SD,South Dakota,20717,21878,24253,25434,29852
GA,Georgia,18422,21966,25690,28780,29919
KY,Kentucky,22854,24170,26349,28602,30003
MN,Minnesota,21050,21791,27150,28567,30066
WI,Wisconsin,25029,25690,27961,27785,30066
GA,Georgia,17747,21050,25730,28120,30120
GA,Georgia,20750,22356,26565,30099,30144
IL,Illinois,35652,34583,33893,33476,30163
TX,Texas,17726,19832,23590,28417,30167
KY,Kentucky,30239,29676,31795,31883,30193
KS,Kansas,26855,27268,29554,29180,30223
VT,Vermont,25808,27846,29702,31227,30233
LA,Louisiana,32159,31049,33320,33387,30241
OK,Oklahoma,32870,30561,33194,31848,30285
VA,Virginia,29444,29241,32380,32727,30319
VA,Virginia,13062,15328,22377,28046,30333
TN,Tennessee,24625,25741,29447,29485,30346
WV,West Virginia,41608,37356,35519,33107,30591
KY,Kentucky,25066,25641,27697,28432,30614
OH,Ohio,32719,31111,31945,32058,30696
WI,Wisconsin,25642,25617,28056,29773,30714
WI,Wisconsin,26158,25263,27010,28816,30760
TN,Tennessee,32781,31717,32450,31807,30787
IN,Indiana,30416,30410,33157,33165,30803
OK,Oklahoma,36151,33433,34402,33151,30814
MI,Michigan,23822,24952,31252,30926,30856
VA,Virginia,17904,19217,22121,28545,30887
ID,Idaho,15304,16543,19155,26140,30891
MN,Minnesota,36329,33060,32584,31255,30895
WY,Wyoming,25048,23562,26560,29116,30921
KY,Kentucky,32238,31318,31839,31499,30928
IN,Indiana,36640,35069,34960,32888,30976
MS,Mississippi,45965,41875,40633,34145,30985
PA,Pennsylvania,38338,34878,35112,31946,30990
SC,South Carolina,38226,36815,37217,34423,31026
TX,Texas,33358,30274,31549,32061,31040
TX,Texas,26030,25135,32359,31861,31047
CO,Colorado,8848,12881,23548,27994,31055
MO,Missouri,15587,19078,28658,32202,31076
ME,Maine,34963,35308,33941,32856,31095
MT,Montana,19056,21041,26507,28746,31134
SC,South Carolina,27464,28450,32502,34971,31144
MS,Mississippi,20918,22237,26726,29957,31184
