STABBREV,STATNAM,POP1980,POP1990,POP2000,POP2010,POP2020
ME,Maine,99657,105259,103793,107702,111139
OR,Oregon,93748,94649,100399,107667,111201
AR,Arkansas,63239,68956,82148,96443,111231
IN,Indiana,128587,119659,118769,117671,111903
VA,Virginia,95699,108381,79236,98970,112395
IN,Indiana,108632,107066,110106,111467,112417
NY,New York,88909,95101,100224,107931,112458
GA,Georgia,34489,41808,62001,99958,112483
MD,Maryland,59895,75974,86211,105151,113777
PA,Pennsylvania,118416,118710,120044,116111,114188
FL,Florida,10913,28701,49832,95696,115378
NC,North Carolina,58580,69285,89173,106740,116281
CT,Connecticut,92312,102525,109091,118428,116418
AL,Alabama,119761,116034,112249,118572,116441
NC,North Carolina,101610,105179,123339,134168,116530
NY,New York,88151,110943,111738,116229,116721
OH,Ohio,97408,101461,111564,114520,116894
NC,North Carolina,97054,104666,113329,122623,117333
NY,New York,113901,121771,122377,122109,117525
MT,Montana,76016,78687,95802,109299,117922
WI,Wisconsin,100935,103877,112646,115507,118034
GA,Georgia,67972,75981,92115,109233,118251
TX,Texas,98637,97874,113546,121073,118525
KS,Kansas,67640,81798,99962,110826,118785
MT,Montana,42865,50463,67831,89513,118960
GA,Georgia,56346,71422,87268,110527,119148
GA,Georgia,29043,62415,91263,106567,119194
TX,Texas,84784,98458,104010,110224,120003
MI,Michigan,81555,90509,105665,111408,120502
WI,Wisconsin,91056,97904,107120,114638,120784
IN,Indiana,88838,87777,96472,110232,121093
OK,Oklahoma,112456,111486,114996,124098,121125
NM,New Mexico,81433,91605,113801,130044,121661
WV,West Virginia,46775,59253,75905,104169,122076
MO,Missouri,86958,90465,104686,117404,122761
PA,Pennsylvania,136621,130542,129144,127089,122822
AR,Arkansas,53161,64183,83529,107118,123416
AL,Alabama,90231,100043,111064,119490,123421
AR,Arkansas,46192,60006,86014,113237,123498
ME,Maine,109889,115904,117114,122151,123642
ID,Idaho,65980,72207,82522,104234,123964
TX,Texas,99487,104948,111379,121730,124239
OH,Ohio,131205,126137,128852,124475,124936
AZ,Arizona,85686,97624,117755,131346,125447
LA,Louisiana,50068,58214,76627,107215,126500
NY,New York,146925,141895,139750,134905,127657
AR,Arkansas,95172,99590,115071,125744,127799
OR,Oregon,89495,91227,103069,116672,128610
GA,Georgia,74498,87594,101489,116714,128671
LA,Louisiana,80721,86088,98310,116979,128746
PA,Pennsylvania,159417,145351,148644,136606,128804
NJ,New Jersey,87361,107776,121989,128349,128947
MA,Massachusetts,145110,139352,134953,131219,129026
TX,Texas,121082,122378,131664,131500,129350
WA,Washington,64138,79555,102979,116901,129523
FL,Florida,24272,31577,53345,93420,129752
RI,Rhode Island,93317,110006,123546,126979,129839
LA,Louisiana,135282,131556,126337,131613,130023
IN,Indiana,139336,130669,133358,131636,130129
NH,New Hampshire,85408,104233,112233,123143,130889
IA,Iowa,137961,123798,128012,131090,131144
IL,Illinois,132078,123692,128485,135394,131343
SC,South Carolina,79292,93894,110757,119224,131404
IL,Illinois,37202,39413,54544,114736,131869
OH,Ohio,107372,113269,121065,125488,132248
TN,Tennessee,88755,92315,107198,122979,133001
UT,Utah,57176,70183,91391,112656,133154
LA,Louisiana,80698,85709,100588,121097,133157
PA,Pennsylvania,183263,163029,152598,143679,133472
NC,North Carolina,59570,67822,91025,114678,133568
MI,Michigan,141557,135982,137985,136146,134310
KY,Kentucky,71828,76673,92522,113792,134554
TN,Tennessee,77770,85969,105823,123010,135280
TX,Texas,89796,95021,110595,120877,135543
KY,Kentucky,45842,57589,85991,118811,135968
OH,Ohio,150236,147548,144742,138333,136001
CA,California,108514,119118,126518,134623,136463
NC,North Carolina,35777,50985,73143,107431,136693
WI,Wisconsin,84848,95328,117493,131887,136761
SC,South Carolina,110163,114344,125761,136885,137059
VA,Virginia,122617,133793,146437,137436,137148
WI,Wisconsin,111270,115400,125834,134063,138013
CA,California,99199,110765,124279,136484,138019
IN,Indiana,98785,108978,120563,137974,139718
VA,Virginia,49757,76430,90395,122397,140032
TX,Texas,75062,89673,104312,120725,140753
MN,Minnesota,58681,68710,89986,124700,141337
LA,Louisiana,58806,70526,91814,128026,142282
PA,Pennsylvania,160630,152585,150336,148289,143049
TX,Texas,110932,119655,126555,131506,143208
MS,Mississippi,118015,115243,131420,139668,143252
PA,Pennsylvania,108582,113744,120327,133568,143257
NC,North Carolina,91728,106546,130454,141752,144171
NJ,New Jersey,116119,130943,144166,149265,144221
GA,Georgia,54573,71120,92174,132403,144237
IL,Illinois,165968,148723,149374,147546,144672
AZ,Arizona,75008,96591,116320,134421,145101
TX,Texas,39015,52220,71313,103350,145310
GA,Georgia,39268,53853,89215,127317,146158
NC,North Carolina,99186,110605,130340,138428,146875
TN,Tennessee,56064,67675,88809,113993,147737
TX,Texas,44609,64785,88495,116927,148222
NC,North Carolina,77055,93851,118227,133801,148696
NM,New Mexico,34799,63319,89908,131561,148834
CT,Connecticut,114823,128699,136364,152691,149788
MN,Minnesota,43784,57846,89498,129928,150928
ME,Maine,137015,146601,144919,153923,152199
CA,California,73738,101469,129461,152982,152486
IA,Iowa,81717,96119,111006,130882,152854
NH,New Hampshire,98302,120005,136225,146445,153808
FL,Florida,54703,93515,118085,141236,153843
NJ,New Jersey,132866,138053,146438,156898,154152
MI,Michigan,171276,161378,162453,156813,154316
OK,Oklahoma,56452,74409,87697,115541,154405
MD,Maryland,113086,121393,131923,147430,154705
MI,Michigan,134659,133600,145945,152021,154809
NM,New Mexico,75360,98928,129292,144170,154823
CO,Colorado,81530,93145,116255,146723,155703
PA,Pennsylvania,113629,121082,129313,149618,155932
GA,Georgia,40118,66031,89288,124053,156010
CA,California,63116,88090,123109,150865,156255
VA,Virginia,40470,61236,92446,128961,156927
MS,Mississippi,69427,87161,115327,141617,157031
GA,Georgia,150256,149967,153887,155547,157346
NY,New York,149946,149285,146555,154727,158061
TN,Tennessee,143968,143596,153048,156823,158163
PA,Pennsylvania,112760,123786,135758,153990,158172
MN,Minnesota,108161,118791,133166,150642,158292
FL,Florida,64014,100900,126731,146318,158431
OH,Ohio,93678,103461,122759,146156,158921
VA,Virginia,,,128283,139966,159467
FL,Florida,59896,90208,112947,138028,159788
MI,Michigan,151495,149756,158422,160248,160366
LA,Louisiana,139241,142191,147250,153720,160368
MI,Michigan,138802,145607,164235,163040,160383
NC,North Carolina,105208,118412,141685,154358,160610
NY,New York,151966,154429,152538,159429,161130
TX,Texas,36446,51832,78021,108472,161501
SC,South Carolina,58761,83060,96413,136555,161540
IN,Indiana,77240,88109,115209,139654,161765
OH,Ohio,135856,142585,152061,161419,161791
MA,Massachusetts,138813,146568,152251,158080,162308
MN,Minnesota,92006,106470,124277,144248,162847
GA,Georgia,77605,89208,110765,139900,163633
WI,Wisconsin,139420,139510,152307,160331,163687
CT,Connecticut,129017,143196,155071,165676,164245
MT,Montana,108035,113419,129352,147972,164731
HI,Hawaii,70847,100374,128094,154834,164754
TX,Texas,115374,118934,121123,137130,165171
MD,Maryland,72751,101154,120546,146551,166617
OH,Ohio,129769,136731,147886,161573,167966
CO,Colorado,125972,123051,141472,159063,168162
PA,Pennsylvania,204441,186093,181412,170539,168215
VT,Vermont,115534,131761,146571,156545,168323
PA,Pennsylvania,69409,95709,138687,169842,168327
GA,Georgia,26110,41611,81678,142324,168661
SC,South Carolina,105625,120940,142552,160099,168808
NC,North Carolina,113162,126677,147246,162878,168930
KY,Kentucky,137058,142031,151464,159720,169064
WI,Wisconsin,123137,128181,149577,166426,169151
KS,Kansas,172335,161993,157882,157505,169245
TX,Texas,82636,106611,116009,136872,169983
NC,North Carolina,90146,107924,133798,168148,170243
RI,Rhode Island,154163,161135,167090,166158,170363
IL,Illinois,119149,129180,150433,169572,170954
ID,Idaho,59770,69795,108685,138494,171362
NC,North Carolina,99319,108213,130800,151131,171415
WI,Wisconsin,131703,140320,156763,166994,171730
TX,Texas,46708,64873,89023,131533,172706
MD,Maryland,96356,123372,150897,167134,172891
IN,Indiana,119816,128932,146798,164343,173215
AL,Alabama,76283,87146,115092,140247,174241
IA,Iowa,160022,150979,158668,165224,174669
IN,Indiana,69804,75717,104093,145448,174788
FL,Florida,97740,126994,148217,168852,175216
MI,Michigan,157589,158983,170200,172188,175824
OH,Ohio,120981,128300,145491,166492,178519
KS,Kansas,154916,160976,169871,177934,178909
CA,California,92110,109303,142361,174528,179702
TX,Texas,67649,97165,126811,150934,179927
IN,Indiana,167515,165058,171922,179703,180136
UT,Utah,26065,48560,90354,138115,180279
WV,West Virginia,231414,207619,200073,193063,180745
IL,Illinois,200466,182827,183433,186494,181830
DE,Delaware,98219,110993,126697,162310,181851
NY,New York,158158,165304,177749,182493,181851
CA,California,115715,147036,163256,177223,182155
OH,Ohio,113150,122354,151095,172332,182470
MO,Missouri,100376,112379,135454,162642,183610
ND,North Dakota,88247,102874,123138,149778,184525
CT,Connecticut,156769,174092,182193,189927,185186
MS,Mississippi,53930,67910,107199,161252,185314
VA,Virginia,144903,170045,180150,180719,186247
IN,Indiana,121702,130598,148955,172780,186251
NC,North Carolina,82538,92931,122660,159437,186693
FL,Florida,58460,110975,141627,159978,186847
SC,South Carolina,65364,86425,120937,162233,187117
FL,Florida,55988,81608,117743,151372,188000
MI,Michigan,228059,211946,210039,200169,190124
NE,Nebraska,86015,102583,122595,158840,190604
WI,Wisconsin,128799,140510,160971,176695,190705
CA,California,85812,125995,156299,181058,191185
TX,Texas,59743,85167,111360,149610,192455
PA,Pennsylvania,147912,152013,174083,183862,193763
MI,Michigan,100289,115645,156951,180967,193866
FL,Florida,44469,101115,130802,172778,194515
TN,Tennessee,85790,103281,130449,160645,196281
IL,Illinois,176089,178386,188951,197465,196343
SD,South Dakota,109435,123809,148281,169468,197214
WI,Wisconsin,173132,175034,188831,195408,197727
OR,Oregon,62142,74958,115367,157733,198253
NY,New York,213648,212160,200536,200600,198683
MN,Minnesota,222229,198213,200528,200226,200231
HI,Hawaii,92053,120317,148677,185079,200629
OH,Ohio,241863,227813,225116,210312,201977
GA,Georgia,75649,95428,139277,179684,203136
SC,South Carolina,133235,145196,165740,187126,203718
AZ,Arizona,77997,106895,160026,195751,203881
NC,North Carolina,112784,149838,150355,177772,204576
IL,Illinois,168392,173025,179669,201081,205865
GA,Georgia,181629,189719,199775,200549,206607
WA,Washington,109444,112560,142475,175177,206873
GA,Georgia,170108,179278,186291,189885,206922
IN,Indiana,137330,156198,182791,197559,207047
OH,Ohio,128483,150187,177977,197363,208601
MS,Mississippi,157665,165365,189601,187105,208621
PA,Pennsylvania,217074,204584,202897,207820,209349
CA,California,143851,182120,203171,220000,211632
FL,Florida,109920,143776,170498,180822,211668
ME,Maine,139666,164587,186742,197131,211972
NY,New York,227354,220756,219846,216469,212666
AZ,Arizona,55865,93497,155032,200186,213267
OH,Ohio,53840,66929,109989,174214,214124
PA,Pennsylvania,227908,219039,213295,214437,215896
NC,North Carolina,70599,81306,121965,168878,215999
CA,California,113374,141092,168660,200849,216403
LA,Louisiana,167223,168134,183577,192768,216785
FL,Florida,67052,105986,140814,190865,218245
NM,New Mexico,96340,135510,174682,209233,219561
TN,Tennessee,83342,100498,134768,172331,220069
AL,Alabama,66298,99358,143293,195085,223024
OR,Oregon,132456,146389,181269,203206,223259
NC,North Carolina,103471,120284,160307,202667,225702
NC,North Carolina,85895,98935,131063,178011,225804
VA,Virginia,,,197790,204214,226610
MO,Missouri,146183,171380,198099,218733,226739
WA,Washington,106701,127780,166814,201140,226847
AL,Alabama,137541,150522,164875,194656,227036
MS,Mississippi,250998,254441,250800,245285,227742
NC,North Carolina,162568,175093,190365,206086,227943
OH,Ohio,289487,264806,257555,238823,228614
AL,Alabama,197038,209085,223510,229363,228954
MA,Massachusetts,147925,186605,222230,215888,228996
SC,South Carolina,94727,128776,142651,177843,229861
IA,Iowa,169775,168767,191701,211226,230299
ID,Idaho,83756,90076,131441,188923,231105
AL,Alabama,78556,98280,140415,182265,231767
NY,New York,253466,250836,235469,234878,232125
OH,Ohio,212801,215499,227511,230041,232603
TX,Texas,128366,151309,174706,209714,233479
TX,Texas,93588,121862,152415,194851,233849
NY,New York,153759,181276,200635,219607,235509
AZ,Arizona,68145,107714,167517,211033,236209
DE,Delaware,98004,113229,156638,197145,237378
LA,Louisiana,252358,248253,252161,254969,237848
VA,Virginia,486042,517112,234403,242803,238005
NC,North Carolina,70380,84211,123677,201292,238267
VA,Virginia,255816,282119,189453,207627,238643
GA,Georgia,36309,58741,119341,203922,240712
TX,Texas,40594,65614,97589,157107,241067
LA,Louisiana,150017,164762,190503,221578,241753
OH,Ohio,99276,113909,158383,212693,242337
AR,Arkansas,100494,113409,157715,203065,245871
TN,Tennessee,58108,81021,126638,183182,247726
VA,Virginia,,,199184,222209,249422
GA,Georgia,27958,44083,98407,175511,251283
MO,Missouri,136488,153411,184006,221939,253335
TX,Texas,250938,239397,252051,252273,256526
WA,Washington,172508,188823,222581,243231,256728
IL,Illinois,267531,262852,256082,270056,257400
PA,Pennsylvania,178541,195257,213674,235406,259469
TX,Texas,170755,189123,213517,234906,260579
MD,Maryland,145930,182132,218590,244826,260924
MI,Michigan,212378,223411,238603,250331,261670
UT,Utah,144616,158330,196533,231236,262223
CA,California,222568,230096,247289,252409,262321
LA,Louisiana,110869,144508,191268,233740,264570
IL,Illinois,247691,249238,258941,269282,265859
GA,Georgia,51699,90204,141903,214346,266620
TX,Texas,99258,133239,193117,250304,267114
MN,Minnesota,113571,145896,201130,238136,267568
CT,Connecticut,238409,254957,259088,274055,268555
WI,Wisconsin,175280,194594,226778,248007,268740
NC,North Carolina,160934,174821,206330,238318,269452
CA,California,188141,229734,255602,262382,270861
PA,Pennsylvania,279780,275572,280843,280566,270876
MD,Maryland,114792,150208,195277,233385,271717
IN,Indiana,241617,247052,265559,266931,272912
FL,Florida,51303,83829,123135,190039,273425
NJ,New Jersey,194119,224327,252552,274549,274534
WA,Washington,147152,189731,231969,251133,275611
FL,Florida,151348,181596,217955,247336,278468
CA,California,134560,178403,210554,255793,281202
SC,South Carolina,106720,131497,164614,226073,282090
CA,California,155435,217162,246681,269637,282424
AR,Arkansas,78115,97499,153406,221339,284333
MI,Michigan,275520,281912,279320,280895,284900
IL,Illinois,250884,252913,278418,295266,285350
PA,Pennsylvania,232317,237813,251798,268100,286401
AK,Alaska,174431,226338,260283,291826,291247
FL,Florida,148655,192493,239452,275487,292198
SC,South Carolina,140353,167611,216014,262391,293991
WA,Washington,124264,161238,207355,252264,294793
GA,Georgia,202226,216935,232048,265128,295291
OK,Oklahoma,133173,174253,208016,255755,295528
NY,New York,245055,259462,280150,297488,295911
MI,Michigan,157174,187768,238314,263801,296200
GA,Georgia,150357,182052,236517,259424,297595
MO,Missouri,185302,207949,240391,275174,298915
MO,Missouri,453085,396685,348189,319294,301578
NJ,New Jersey,199917,230082,254673,288288,302294
ME,Maine,215789,243135,265612,281674,303069
IL,Illinois,147897,183241,260077,308760,310229
TX,Texas,211651,222636,242628,278831,310639
PA,Pennsylvania,225418,247105,267066,297735,312951
OH,Ohio,274909,271126,284664,301356,312964
NH,New Hampshire,190345,245845,277359,295223,314176
NY,New York,285909,292594,294565,304204,314848
FL,Florida,233794,262798,294410,297619,321905
KY,Kentucky,204165,225366,260512,295803,322570
NE,Nebraska,192884,213641,250291,285407,322608
NC,North Carolina,152785,181835,223314,267587,324833
PA,Pennsylvania,343079,328149,319250,320918,325594
SC,South Carolina,201861,226800,253791,284307,327997
CO,Colorado,123438,131821,180936,252825,328981
FL,Florida,87182,150171,192695,277789,329226
CO,Colorado,189625,225339,291288,294567,330758
MD,Maryland,118572,187328,247842,287085,332317
VA,Virginia,399949,420937,262300,306935,334389
NC,North Carolina,247160,274566,302963,319431,334728
NY,New York,259530,265475,286753,311687,338329
TN,Tennessee,84058,118570,182023,262604,341486
NJ,New Jersey,203129,240279,297490,323444,345361
OR,Oregon,204692,228483,284834,315335,345920
IN,Indiana,82027,108936,182740,274569,347467
TX,Texas,195940,217399,250158,291309,350682
SC,South Carolina,101419,144053,196629,269291,351029
TX,Texas,268215,291145,313645,340223,353178
PA,Pennsylvania,392294,370321,369993,365169,354663
CO,Colorado,25153,60391,175766,285465,357978
CO,Colorado,149184,186136,251494,299630,359066
UT,Utah,146540,187941,238994,306479,362679
MN,Minnesota,195998,243641,298084,330844,363887
VA,Virginia,141372,209274,259903,316236,364548
TN,Tennessee,287740,285536,307896,336463,366207
TX,Texas,157889,191088,237974,310235,370647
TX,Texas,169587,191707,241767,313166,372031
MI,Michigan,264748,282937,322895,344791,372258
PA,Pennsylvania,272349,291130,312090,349497,374557
OH,Ohio,378823,367585,378098,375586,374853
FL,Florida,85971,152099,251377,321520,375752
FL,Florida,122488,194833,258916,331298,375908
NC,North Carolina,243683,265878,306067,350670,382590
OR,Oregon,275226,282912,322959,351715,382971
FL,Florida,104870,152104,210528,297052,383956
LA,Louisiana,557515,496938,484674,343829,383997
IN,Indiana,294335,300836,331849,355329,385410
NJ,New Jersey,307863,325824,350761,366513,387340
AL,Alabama,196966,238912,276700,334811,388153
FL,Florida,49287,107728,172493,268685,388656
OH,Ohio,258787,291479,332807,368130,390357
AR,Arkansas,340613,349660,361474,382748,399125
FL,Florida,148442,211707,264002,322833,399710
NY,New York,259603,307647,341367,372813,401310
CA,California,117247,172796,248399,348432,404739
MO,Missouri,144107,212907,283883,360485,405262
MI,Michigan,450449,430459,436141,425790,406211
WI,Wisconsin,280326,304715,360767,389891,406978
SC,South Carolina,276974,295039,309969,350209,408235
AL,Alabama,364980,378643,399843,412992,414809
SC,South Carolina,269735,285720,320677,384504,416147
VA,Virginia,57427,86129,169599,312311,420959
TX,Texas,209727,260120,335227,406220,421017
OR,Oregon,241919,278850,338391,375992,421401
NH,New Hampshire,276608,336073,380841,400721,422937
AZ,Arizona,90918,116379,179727,375770,425264
PA,Pennsylvania,312509,336523,373638,411442,428849
OH,Ohio,471741,462361,455054,441815,431279
FL,Florida,202251,277776,325957,379448,434006
CA,California,290444,355660,401762,415057,439035
MN,Minnesota,194279,275227,355904,398552,439882
LA,Louisiana,454592,448306,455466,432552,440781
CA,California,298694,369608,399347,423895,448229
CA,California,235203,340421,394542,413344,453491
PA,Pennsylvania,312963,339574,381751,434972,456438
LA,Louisiana,366191,380105,412852,440171,456781
VA,Virginia,262199,393069,425257,437994,459470
NJ,New Jersey,362542,395066,423394,448734,461860
MA,Massachusetts,443018,456310,456228,463490,465825
FL,Florida,179752,287529,365196,422718,470856
CA,California,245738,311921,368021,442179,473117
NY,New York,463920,468973,458336,467026,476516
TN,Tennessee,319694,335749,382032,432226,478971
VA,Virginia,166665,250377,280813,402002,482204
NV,Nevada,193623,254667,339486,421407,486492
CA,California,299681,388222,458614,483878,488863
IA,Iowa,303170,327140,374601,430640,492401
ID,Idaho,173036,205775,300904,392365,494967
NY,New York,352121,378977,443728,468730,495747
IN,Indiana,522965,475594,484564,496005,498700
WA,Washington,192227,238053,345238,425363,503311
NJ,New Jersey,407630,421353,470212,492276,509285
IL,Illinois,278405,317471,404119,515269,516522
CO,Colorado,245944,265038,363857,441603,519572
NJ,New Jersey,471650,502824,508932,513657,523485
KS,Kansas,366531,403662,452869,498365,523824
NJ,New Jersey,447585,453060,489049,501226,524118
SC,South Carolina,287913,320167,379616,451225,525534
MA,Massachusetts,405437,435276,472822,494919,530819
PA,Pennsylvania,316660,376396,433501,498886,534413
OH,Ohio,571697,573809,559062,535153,537309
WA,Washington,341835,361364,417939,471221,539339
OH,Ohio,524472,514990,542899,541781,540428
NC,North Carolina,317154,347420,421048,488406,541299
MN,Minnesota,459784,485765,511035,508640,552352
CA,California,265900,370522,446997,514453,552878
PA,Pennsylvania,362346,422822,470658,519445,552984
FL,Florida,258762,370712,443343,494593,553543
WI,Wisconsin,323545,367085,426526,488073,561504
FL,Florida,193643,281131,344765,464697,561891
DE,Delaware,398115,441946,500265,538479,570719
NJ,New Jersey,504094,493819,522541,536499,575345
PA,Pennsylvania,555007,547651,550864,558979,576830
MA,Massachusetts,474641,506325,534678,548285,579200
CO,Colorado,371753,438430,527056,534543,582910
NE,Nebraska,397038,416444,463585,517110,584526
MD,Maryland,786775,736014,651154,620961,585708
MD,Maryland,370775,427239,489656,537656,588261
OR,Oregon,245808,311554,445342,529710,600372
FL,Florida,272959,398978,476230,543376,606612
TX,Texas,76521,139551,249967,422679,609017
KS,Kansas,270269,355054,451086,544179,609863
TX,Texas,128487,182201,293768,455746,620443
NJ,New Jersey,346038,433203,510916,576567,637229
NJ,New Jersey,503173,553124,615301,630380,643615
PA,Pennsylvania,479211,541174,597635,625249,646538
CO,Colorado,293621,391511,487967,572003,655070
MI,Michigan,444506,500631,574335,602622,657974
UT,Utah,218106,263590,368536,516564,659399
RI,Rhode Island,571349,596270,621602,626667,660741
OK,Oklahoma,470593,503341,563299,603403,669279
AL,Alabama,671324,651525,662047,658466,674721
NM,New Mexico,419700,480577,556678,662564,676444
DC,District of Columbia,638333,606900,572059,601723,689545
IL,Illinois,324460,357313,502266,677560,696355
IL,Illinois,440372,516418,644356,703462,714342
CO,Colorado,492365,467610,554636,600158,715522
TN,Tennessee,477811,510784,569891,626681,715884
MO,Missouri,629266,633232,654880,674158,717204
NJ,New Jersey,556972,553099,608975,634266,724854
FL,Florida,321652,405382,483924,602095,725046
MA,Massachusetts,606587,616087,650308,670850,725981
CO,Colorado,309424,397014,516929,622263,730395
NY,New York,702238,713968,735343,744344,759443
FL,Florida,205266,335113,440888,618754,760822
GA,Georgia,483024,545837,665865,691893,764382
CA,California,587329,649623,707161,718451,764442
GA,Georgia,297718,447745,607751,688078,766149
CA,California,347342,480628,563598,685306,779233
KY,Kentucky,685004,664937,693604,741096,782969
OK,Oklahoma,568933,599611,660448,718633,796292
MA,Massachusetts,650142,663906,689807,722023,797936
MA,Massachusetts,633632,670080,723419,743159,809829
OR,Oregon,562640,583887,660486,735334,815428
TX,Texas,130846,225421,354452,585375,822779
WA,Washington,337720,465642,606024,713335,827957
OH,Ohio,873224,866228,845303,802374,830639
CA,California,529174,669016,753197,823318,843843
MD,Maryland,655615,692134,754292,805029,854535
PA,Pennsylvania,643621,678111,750097,799874,856553
MA,Massachusetts,646352,709705,750963,798552,862111
NJ,New Jersey,595893,671780,750162,809858,863162
NJ,New Jersey,851116,778206,793633,783969,863728
CT,Connecticut,761337,804219,824008,862477,864835
TX,Texas,479899,591610,679622,800647,865657
TX,Texas,283229,383545,569463,774769,870781
CA,California,678974,723959,776733,805235,873965
MI,Michigan,694600,717400,788149,840978,881217
CT,Connecticut,807766,851783,857183,894014,899498
TX,Texas,143126,273525,432976,662614,906422
CA,California,403089,543477,661645,839631,909235
WA,Washington,485643,586203,700820,795225,921130
TN,Tennessee,777113,826330,897472,927644,929744
IL,Illinois,658835,781666,904161,916924,932877
WI,Wisconsin,964988,959275,940164,947735,939489
NY,New York,1015472,968532,950265,919040,954236
NJ,New Jersey,845385,825380,884118,905116,955732
GA,Georgia,166903,352910,588448,805321,957062
CT,Connecticut,807143,827645,882567,916829,957419
FL,Florida,728531,851659,921482,916542,959107
MD,Maryland,665071,729268,801515,863420,967201
IN,Indiana,765233,797159,860454,903393,977203
FL,Florida,571003,672971,778879,864263,995567
MO,Missouri,973896,993529,1016315,998954,1004125
NY,New York,866599,874866,923459,949113,1004457
CA,California,514621,667490,799407,930450,1008654
HI,Hawaii,762565,836231,876156,953207,1016508
AZ,Arizona,531443,666880,843746,980263,1043433
MD,Maryland,579053,757027,873341,971777,1062061
TX,Texas,144576,264036,491675,782341,1064465
GA,Georgia,589904,648951,816006,920581,1066710
NC,North Carolina,404270,511433,695454,919628,1115482
NC,North Carolina,301327,423380,627846,900993,1129410
VA,Virginia,625806,847784,969749,1081726,1150309
CA,California,656380,803732,948816,1049025,1165927
UT,Utah,619066,725956,898387,1029655,1185238
PA,Pennsylvania,1450085,1336449,1281666,1223348,1250578
OH,Ohio,1498400,1412140,1393978,1280122,1264817
MI,Michigan,1011793,1083592,1194156,1202362,1274395
MN,Minnesota,941411,1032431,1116200,1152425,1281565
TX,Texas,419573,576407,812280,1024266,1290188
OH,Ohio,869132,961437,1068978,1163414,1323807
NY,New York,1321582,1287348,1334544,1339532,1395774
FL,Florida,471016,677491,896344,1145956,1429908
FL,Florida,646960,834054,998948,1229226,1459762
NY,New York,1168972,1203789,1332650,1385108,1472654
FL,Florida,576863,863518,1131184,1320134,1492191
NY,New York,1284231,1321864,1419369,1493350,1525920
CA,California,783381,1041219,1223499,1418788,1585055
PA,Pennsylvania,1688210,1585577,1517550,1526006,1603797
MA,Massachusetts,1367034,1398468,1465396,1503085,1632002
CA,California,1105379,1279182,1443741,1510271,1682353
NY,New York,1428285,1487536,1537195,1585873,1694251
MI,Michigan,2337891,2111687,2061162,1820584,1793561
CA,California,1295071,1497577,1682585,1781642,1936259
FL,Florida,1018200,1255488,1623018,1748066,1944375
TX,Texas,988800,1185394,1392931,1714773,2009324
TX,Texas,860880,1170103,1446219,1809034,2110640
CA,California,895016,1418380,1709434,2035210,2181654
NV,Nevada,463087,741459,1375765,1951269,2265461
WA,Washington,1269749,1507319,1737034,1931249,2269675
NY,New York,1891325,1951598,2229379,2230722,2405464
CA,California,663166,1170413,1545387,2189641,2418185
TX,Texas,1556390,1852810,2218899,2368139,2613539
FL,Florida,,1937094,2253362,2496435,2701767
NY,New York,2230936,2300664,2465326,2504700,2736074
CA,California,1932709,2410556,2846289,3010232,3186989
CA,California,1861846,2498016,2813833,3095313,3298634
AZ,Arizona,1509052,2122101,3072149,3817117,4420568
TX,Texas,2409547,2818199,3400578,4092459,4731145
IL,Illinois,5253655,5105067,5376741,5194675,5275541
CA,California,7477503,8863164,9519338,9818605,10014009
