"GEO_ID","NAME","B19083_001M","B19083_001E",
"Geography","Geographic Area Name","Margin of Error!!Gini Index","Estimate!!Gini Index",
"1600000US2684000","Warren city, Michigan","0.019","0.401",
"1600000US2686000","Westland city, Michigan","0.036","0.429",
"1600000US2688940","Wyoming city, Michigan","0.028","0.405",
"1600000US2706616","Bloomington city, Minnesota","0.036","0.425",
"1600000US2707966","Brooklyn Park city, Minnesota","0.023","0.402",
"1600000US2717000","Duluth city, Minnesota","0.037","0.492",
"1600000US2743000","Minneapolis city, Minnesota","0.016","0.499",
"1600000US2751730","Plymouth city, Minnesota","0.029","0.441",
"1600000US2754880","Rochester city, Minnesota","0.020","0.433",
"1600000US2756896","St. Cloud city, Minnesota","0.028","0.450",
"1600000US2758000","St. Paul city, Minnesota","0.017","0.477",
"1600000US2829700","Gulfport city, Mississippi","0.031","0.455",
"1600000US2836000","Jackson city, Mississippi","0.025","0.485",
"1600000US2915670","Columbia city, Missouri","0.029","0.533",
"1600000US2935000","Independence city, Missouri","0.027","0.428",
"1600000US2938000","Kansas City city, Missouri","0.014","0.478",
"1600000US2941348","Lee's Summit city, Missouri","0.023","0.395",
"1600000US2954074","O'Fallon city, Missouri","0.021","0.358",
"1600000US2964082","St. Charles city, Missouri","0.029","0.436",
"1600000US2964550","St. Joseph city, Missouri","0.118","0.518",
"1600000US2965000","St. Louis city, Missouri","0.018","0.487",
"1600000US2970000","Springfield city, Missouri","0.020","0.463",
"1600000US3006550","Billings city, Montana","0.029","0.421",
"1600000US3050200","Missoula city, Montana","0.040","0.456",
"1600000US3128000","Lincoln city, Nebraska","0.014","0.436",
"1600000US3137000","Omaha city, Nebraska","0.019","0.467",
"1600000US3223770","Enterprise CDP, Nevada","0.034","0.406",
"1600000US3231900","Henderson city, Nevada","0.022","0.437",
"1600000US3240000","Las Vegas city, Nevada","0.015","0.448",
"1600000US3251800","North Las Vegas city, Nevada","0.024","0.423",
"1600000US3254600","Paradise CDP, Nevada","0.021","0.416",
"1600000US3260600","Reno city, Nevada","0.027","0.485",
"1600000US3268400","Sparks city, Nevada","0.039","0.417",
