,2019,2020,2021,2022
Daviess,"177,780","186,911","161,729","145,140"
DeKalb,"328,012","332,218","311,562","314,400"
Dent,"360,925","359,807","357,466","330,170"
Douglas,"217,288","210,296","222,925","219,452"
Dunklin,"717,507","665,423","767,495","747,634"
Franklin,"4,742,391","4,765,086","4,759,906","4,821,634"
Gasconade,"459,406","442,799","451,113","436,958"
Gentry,"229,484","218,934","216,153","183,002"
Greene,"17,109,108","16,717,947","17,997,933","18,315,179"
Grundy,"333,016","311,765","298,426","284,428"
Harrison,"249,936","256,760","244,381","231,470"
Henry,"692,299","695,427","749,295","742,921"
Hickory,"146,939","149,462","151,716","152,315"
Holt,"234,685","218,194","196,608","193,448"
Howard,"230,972","220,241","229,738","221,457"
Howell,"1,248,364","1,251,571","1,261,777","1,258,598"
Iron,"387,846","409,449","403,588","352,367"
Jackson,"47,963,701","46,704,638","49,017,271","49,964,326"
Jasper,"5,509,447","5,242,957","5,478,936","5,502,078"
Jefferson,"5,294,725","5,218,065","5,413,159","5,226,323"
Johnson,"1,851,658","1,868,474","1,873,375","1,891,428"
Knox,"127,691","124,630","119,681","109,826"
Laclede,"1,243,802","1,253,093","1,346,331","1,377,617"
Lafayette,"815,512","837,019","871,373","851,202"
Lawrence,"879,011","825,325","872,878","967,551"
Lewis,"230,337","226,811","242,521","230,497"
Lincoln,"1,280,885","1,251,174","1,311,212","1,264,990"
Linn,"411,313","400,990","402,406","384,052"
Livingston,"579,175","563,556","570,499","552,579"
McDonald,"715,631","698,999","728,211","851,075"
Macon,"569,594","529,118","574,976","570,450"
Madison,"276,053","264,604","270,399","265,790"
Maries,"159,125","172,442","174,916","171,065"
Marion,"1,194,538","1,190,321","1,212,627","1,193,951"
Mercer,"104,272","97,675","111,691","79,127"
Miller,"687,905","677,866","693,514","691,979"
Mississippi,"361,078","346,327","360,856","332,666"
Moniteau,"417,006","428,796","433,077","468,932"
Monroe,"183,146","187,925","192,634","177,221"
Montgomery,"341,722","336,505","362,270","342,824"
Morgan,"481,029","487,307","508,072","573,602"
New Madrid,"1,012,564","991,855","987,311","1,081,272"
Newton,"2,071,611","2,025,874","2,121,532","2,221,762"
Nodaway,"707,115","735,856","734,727","726,138"
Oregon,"203,497","199,289","196,783","194,810"
Osage,"419,410","404,179","407,210","418,767"
Ozark,"135,723","136,918","142,760","142,828"
Pemiscot,"416,391","406,807","453,989","409,301"
Perry,"1,113,838","1,031,333","996,073","938,043"
Pettis,"1,721,368","1,674,246","1,763,484","1,843,954"
Phelps,"1,564,539","1,528,515","1,547,281","1,561,750"
Pike,"513,128","491,385","515,695","506,623"
Platte,"7,266,925","6,819,085","7,311,700","7,461,335"
Polk,"774,664","767,916","802,442","839,932"
Pulaski,"2,301,619","2,385,542","2,285,043","2,142,723"
Putnam,"119,514","116,601","120,085","96,532"
Ralls,"538,982","598,290","680,188","650,285"
Randolph,"1,218,416","1,202,306","1,295,235","1,282,147"
Ray,"493,398","473,680","487,908","469,724"
Reynolds,"232,680","238,590","236,804","203,554"
Ripley,"218,192","205,153","208,274","211,822"
St. Charles,"17,744,958","17,913,288","19,030,644","19,428,800"
St. Clair,"156,384","156,021","160,714","162,959"
Ste. Genevieve,"625,292","642,521","679,625","650,945"
St. Francois,"1,759,261","1,701,086","1,757,199","1,750,515"
St. Louis,"81,218,803","81,193,997","85,802,117","88,661,082"
Saline,"889,010","896,648","940,408","920,474"
Schuyler,"72,566","74,114","103,699","111,011"
Scotland,"135,597","143,297","147,797","138,374"
Scott,"1,602,325","1,599,897","1,646,384","1,665,784"
Shannon,"124,764","128,401","133,432","133,416"
Shelby,"150,926","173,236","182,261","166,580"
Stoddard,"1,005,549","1,006,785","1,189,085","1,161,779"
Stone,"740,375","674,785","754,366","766,437"
Sullivan,"438,213","443,279","449,104","382,349"
Taney,"2,593,587","2,269,633","2,598,305","2,716,742"
Texas,"501,040","507,135","509,542","503,263"
Vernon,"793,895","791,870","787,332","778,907"
Warren,"896,987","839,862","882,247","871,825"
Washington,"396,119","385,504","409,587","405,056"
Wayne,"216,496","204,314","213,866","210,024"
Webster,"761,437","781,960","858,549","879,536"
Worth,"56,447","49,438","45,505","36,878"
Wright,"330,491","352,268","416,248","429,003"
St. Louis City,"29,941,100","28,356,922","29,639,610","30,737,561"
,,,,
Montana,"50,318,918","50,159,556","52,952,018","53,983,386"
Beaverhead,"415,437","403,977","382,850","433,196"
Big Horn,"834,858","786,190","712,575","856,281"
Blaine,"173,194","171,962","146,989","176,934"
Broadwater,"188,644","184,070","187,993","185,435"
Carbon,"375,002","353,065","367,052","397,474"
Carter,"38,129","44,648","32,503","31,507"
Cascade,"3,719,741","3,680,001","3,780,633","3,857,222"
Chouteau,"277,354","286,465","179,696","307,516"
Custer,"469,227","457,077","481,978","482,978"
Daniels,"99,546","114,818","100,184","104,471"
Dawson,"401,102","401,407","407,588","397,851"
Deer Lodge,"275,397","271,331","282,527","305,361"
Fallon,"196,141","202,965","181,965","154,580"
Fergus,"509,805","491,657","546,312","480,056"
Flathead,"4,316,015","4,376,378","4,876,192","4,887,979"
Gallatin,"6,515,592","6,672,617","7,599,734","8,002,992"
Garfield,"32,761","37,378","38,740","39,304"
Glacier,"468,322","444,252","367,269","448,496"
Golden Valley,"24,704","25,734","21,667","23,099"
Granite,"104,276","94,229","110,717","109,376"
Hill,"760,967","739,578","651,119","794,281"
Jefferson,"267,047","248,175","259,313","261,476"
Judith Basin,"100,400","107,057","77,453","90,723"
Lake,"844,000","870,105","943,193","964,311"
Lewis and Clark,"3,609,904","3,608,811","3,818,102","3,904,891"
Liberty,"211,233","213,421","201,754","232,602"
Lincoln,"570,067","585,664","582,950","604,967"
McCone,"97,069","99,100","91,878","89,836"
Madison,"497,829","503,494","555,529","562,332"
Meagher,"60,530","53,396","68,994","57,973"
Mineral,"100,661","98,976","115,211","114,132"
Missoula,"5,759,384","5,743,155","6,373,555","6,517,231"
Musselshell,"264,716","272,413","276,349","337,121"
Park,"622,033","606,305","681,259","701,633"
Petroleum,"13,570","12,172","9,662","11,482"
Phillips,"128,020","130,684","109,181","132,111"
Pondera,"264,115","260,374","194,762","253,852"
Powder River,"101,102","153,377","138,543","112,785"
Powell,"223,015","212,829","210,323","218,877"
Prairie,"38,212","40,324","28,055","37,187"
Ravalli,"1,167,642","1,187,762","1,294,699","1,324,872"
Richland,"858,000","842,599","815,744","737,571"
Roosevelt,"431,325","414,791","406,847","403,322"
Rosebud,"824,931","694,576","692,313","714,253"
Sanders,"345,534","365,973","390,229","389,198"
Sheridan,"165,398","184,290","166,955","154,343"
Silver Bow,"1,516,764","1,516,204","1,596,839","1,563,492"
Stillwater,"593,266","729,841","761,264","626,043"
Sweet Grass,"240,202","270,366","295,887","241,870"
Teton,"264,218","270,712","222,919","254,120"
Toole,"350,769","358,970","274,327","352,212"
Treasure,"94,495","80,648","45,074","47,738"
Valley,"309,092","314,727","362,097","337,545"
Wheatland,"85,931","87,878","74,591","78,724"
Wibaux,"43,726","40,859","40,475","37,868"
Yellowstone,"9,082,515","8,772,765","9,365,626","9,135,644"
,,,,
Nebraska,"127,481,833","126,890,603","133,495,652","137,078,056"
Adams,"1,857,414","1,790,260","1,966,769","2,038,108"
Antelope,"505,334","575,733","571,496","519,369"
Arthur,"18,551","19,433","16,139","11,446"
Banner,"38,463","38,776","36,107","31,932"
Blaine,"29,333","29,250","21,786","19,201"
Boone,"415,481","428,380","455,962","365,760"
Box Butte,"603,880","565,525","562,697","532,689"
Boyd,"119,598","112,112","117,825","118,758"
Brown,"216,270","213,729","189,263","170,872"
Buffalo,"3,133,321","3,059,750","3,439,592","3,554,707"
Burt,"313,371","285,574","336,714","288,636"
Butler,"295,290","325,413","370,696","347,747"
Cass,"758,728","775,314","862,339","810,522"
Cedar,"383,922","422,694","482,661","435,272"
Chase,"329,674","343,025","339,213","323,912"
Cherry,"272,052","302,735","276,266","244,740"
Cheyenne,"547,903","525,269","521,444","523,612"
Clay,"315,380","328,268","363,228","284,866"
Colfax,"677,022","706,080","837,299","802,463"
Cuming,"821,270","783,197","749,128","710,029"
Custer,"643,056","690,424","698,162","631,227"
Dakota,"1,548,194","1,481,661","1,711,399","1,829,390"
Dawes,"275,903","296,862","286,998","265,177"
Dawson,"1,504,413","1,546,093","1,668,085","1,655,914"
Deuel,"81,373","75,028","80,005","85,853"
Dixon,"256,588","276,899","351,284","331,328"
Dodge,"2,021,213","2,114,327","2,309,480","2,331,882"
Douglas,"49,337,055","48,373,739","49,963,171","54,583,264"
Dundy,"175,658","189,450","168,546","165,200"
Fillmore,"360,585","357,686","434,176","386,930"
Franklin,"78,737","94,151","111,392","86,662"
Frontier,"80,299","94,969","113,934","108,645"
Furnas,"234,815","269,671","298,687","273,618"
Gage,"928,052","951,660","1,073,684","1,034,811"
Garden,"75,279","76,869","73,606","67,287"
Garfield,"77,992","86,433","77,807","68,758"
Gosper,"78,164","82,461","100,228","91,095"
Grant,"27,642","29,315","24,564","19,995"
Greeley,"105,283","102,788","117,624","97,113"
Hall,"3,495,945","3,490,239","3,829,720","3,841,712"
Hamilton,"627,242","648,347","723,972","677,330"
Harlan,"187,139","173,469","181,931","162,862"
Hayes,"81,962","94,713","88,850","74,342"
Hitchcock,"139,839","136,613","158,158","157,425"
Holt,"626,431","663,750","686,540","614,363"
Hooker,"30,146","28,608","28,867","26,178"
Howard,"224,487","223,772","229,676","206,730"
Jefferson,"428,502","441,558","482,303","446,844"
Johnson,"175,867","175,832","190,836","186,214"
Kearney,"342,753","337,317","362,827","319,566"
Keith,"383,651","397,675","408,694","396,785"
Keya Paha,"29,817","37,506","28,816","29,606"
Kimball,"156,827","172,930","168,958","177,648"
Knox,"433,836","489,782","591,977","600,138"
Lancaster,"19,607,440","19,525,695","20,142,642","20,925,879"
Lincoln,"2,223,923","2,131,568","2,237,551","2,296,108"
Logan,"28,200","31,856","27,006","24,892"
Loup,"35,679","32,630","27,474","25,771"
McPherson,"21,567","26,987","18,149","16,422"
Madison,"2,444,263","2,364,515","2,452,373","2,452,881"
Merrick,"402,723","363,793","390,752","357,785"
Morrill,"505,042","520,066","307,438","298,905"
Nance,"113,659","114,355","158,018","120,751"
Nemaha,"606,676","580,928","701,823","670,058"
Nuckolls,"249,093","234,054","283,702","249,053"
Otoe,"1,156,552","1,199,063","1,315,009","1,343,243"
Pawnee,"106,806","110,338","131,566","116,495"
Perkins,"299,607","306,071","329,915","319,318"
Phelps,"779,160","785,207","818,016","749,629"
Pierce,"338,510","319,600","395,754","384,466"
Platte,"2,585,092","2,543,114","2,756,845","2,699,423"
Polk,"267,794","260,488","303,239","274,680"
Red Willow,"515,034","540,511","546,257","540,709"
Richardson,"358,583","353,468","415,593","379,371"
Rock,"85,356","94,132","82,465","71,310"
Saline,"1,013,739","987,774","1,045,138","972,268"
Sarpy,"9,014,954","9,248,998","9,840,295","9,685,216"
Saunders,"716,705","743,095","812,814","755,366"
Scotts Bluff,"1,726,499","1,734,206","1,705,641","1,702,262"
Seward,"738,277","719,629","761,750","743,989"
Sheridan,"277,569","310,769","332,819","317,870"
Sherman,"103,052","105,848","126,597","108,525"
Sioux,"72,707","68,758","64,014","56,671"
Stanton,"283,042","293,284","339,960","354,297"
Thayer,"372,611","355,639","398,457","355,156"
Thomas,"32,935","33,275","30,378","30,200"
Thurston,"392,478","406,861","432,050","433,957"
Valley,"298,652","288,008","288,962","270,154"
Washington,"1,263,028","1,276,618","1,418,208","1,390,645"
Wayne,"428,271","459,069","516,141","574,805"
Webster,"212,940","208,480","239,767","259,354"
Wheeler,"104,322","84,442","78,221","62,713"
York,"790,164","790,906","864,714","824,451"
,,,,
Nevada,"175,771,275","165,793,855","181,102,920","187,226,240"
Churchill,"1,130,349","1,144,478","1,188,779","1,145,309"
Clark,"128,047,468","117,201,658","129,198,324","135,989,358"
Douglas,"2,548,624","2,500,360","2,850,354","2,777,612"
Elko,"2,723,399","2,767,804","2,802,785","2,626,305"
Esmeralda,"36,845","38,325","40,818","33,709"
Eureka,"1,235,741","1,528,967","1,386,023","1,095,674"
Humboldt,"1,204,076","1,339,696","1,335,780","1,174,755"
Lander,"768,892","870,906","855,838","712,007"
Lincoln,"164,014","159,584","168,355","152,394"
Lyon,"1,602,375","1,563,008","1,678,329","1,651,079"
Mineral,"221,756","225,450","233,952","212,346"
Nye,"1,669,723","1,764,755","1,801,638","1,721,399"
Pershing,"275,082","351,194","372,152","292,725"
Storey,"1,799,754","2,050,887","2,383,141","2,243,778"
Washoe,"28,039,209","28,035,334","30,542,848","31,351,832"
White Pine,"614,973","740,424","713,331","603,191"
Carson City,"3,694,536","3,507,173","3,582,260","3,627,950"
,,,,
New Hampshire,"84,031,186","83,182,099","89,890,076","90,150,471"
Belknap,"2,878,759","2,894,200","3,012,081","2,857,890"
Carroll,"2,255,370","2,291,873","2,307,623","2,317,984"
Cheshire,"3,905,076","3,851,983","4,099,491","3,917,127"
Coos,"1,247,410","1,240,373","1,287,511","1,296,450"
Grafton,"6,772,431","6,794,280","7,224,705","7,342,959"
Hillsborough,"27,030,133","26,988,108","29,685,180","30,015,576"
Merrimack,"9,975,733","9,598,953","9,871,443","10,390,990"
Rockingham,"22,310,157","22,136,661","24,644,467","24,104,465"
Strafford,"6,069,441","5,798,911","6,155,237","6,393,224"
Sullivan,"1,589,533","1,590,585","1,618,819","1,536,107"
,,,,
New Jersey,"617,110,702","595,973,431","629,011,319","646,731,343"
Atlantic,"13,791,800","12,986,077","14,017,564","14,199,892"
Bergen,"79,736,564","76,718,191","80,606,535","81,577,758"
Burlington,"28,460,282","28,420,414","30,121,239","30,630,405"
Camden,"25,445,882","24,150,451","25,474,699","25,968,516"
Cape May,"5,335,222","5,221,427","5,557,387","5,466,023"
Cumberland,"6,441,352","6,183,632","6,426,886","6,475,732"
Essex,"55,753,535","51,267,523","54,972,907","58,576,369"
Gloucester,"15,095,492","13,751,454","14,225,585","13,972,860"
Hudson,"47,837,910","45,246,499","47,899,086","50,743,664"
Hunterdon,"7,693,523","7,301,371","7,564,419","7,633,049"
Mercer,"37,149,619","37,990,291","40,960,366","42,923,608"
Middlesex,"63,259,457","61,809,078","66,328,634","67,931,037"
Monmouth,"37,066,082","36,197,778","38,647,190","39,884,507"
Morris,"55,919,858","54,816,037","57,825,665","60,488,017"
Ocean,"22,148,559","22,069,015","22,846,494","23,794,530"
Passaic,"22,228,330","20,440,349","21,466,037","21,669,571"
Salem,"5,089,933","5,466,909","5,990,899","5,245,517"
Somerset,"40,722,485","40,231,816","41,717,064","42,879,076"
Sussex,"5,107,444","4,818,120","4,995,896","5,026,777"
Union,"38,668,062","37,038,592","37,410,781","37,730,551"
Warren,"4,153,622","3,850,477","3,950,881","4,105,497"
,,,,
New Mexico,"100,446,232","97,511,896","99,572,348","101,315,019"
Bernalillo,"38,143,805","37,555,635","39,405,632","40,199,025"
Catron,"81,711","92,088","91,048","106,036"
Chaves,"2,111,611","2,060,304","2,028,801","2,021,798"
Cibola,"625,561","635,166","602,156","583,681"
Colfax,"444,333","442,868","447,875","448,905"
Curry,"3,090,482","3,100,993","3,086,968","3,173,046"
De Baca,"76,856","79,467","76,089","77,798"
Doña Ana,"7,720,349","7,420,783","7,869,402","7,901,515"
Eddy,"7,375,068","6,986,478","6,227,554","6,123,644"
Grant,"1,097,692","1,002,805","1,142,178","1,203,851"
Guadalupe,"149,794","147,954","161,349","167,866"
Harding,"39,824","46,807","40,815","41,251"
Hidalgo,"208,394","202,419","200,800","191,612"
Lea,"6,814,461","6,421,688","5,858,935","6,105,243"
Lincoln,"663,019","680,413","637,290","648,065"
Los Alamos,"2,294,179","2,378,689","2,518,249","2,737,205"
Luna,"836,357","859,046","853,713","839,383"
McKinley,"2,578,192","2,439,121","2,280,076","2,272,550"
Mora,"106,514","101,009","104,947","104,228"
Otero,"2,717,292","2,757,489","2,833,927","2,878,269"
Quay,"297,096","286,983","291,027","305,123"
Rio Arriba,"1,070,588","1,006,451","1,003,760","990,265"
Roosevelt,"675,299","645,521","666,509","708,693"
Sandoval,"3,810,561","3,658,802","3,750,354","3,874,694"
San Juan,"5,623,271","5,198,248","5,137,504","5,170,931"
San Miguel,"682,772","622,449","653,900","663,880"
Santa Fe,"7,137,712","6,698,952","7,327,711","7,477,089"
Sierra,"291,685","309,728","310,298","301,184"
Socorro,"493,253","482,517","481,622","494,458"
Taos,"1,009,373","920,747","1,013,338","1,049,254"
Torrance,"394,949","426,309","497,109","525,445"
Union,"160,281","163,389","159,542","158,993"
Valencia,"1,565,097","1,554,621","1,632,158","1,618,116"
,,,,
New York,"1,709,750,685","1,650,567,241","1,724,472,246","1,763,524,631"
Albany,"32,999,927","32,153,712","34,560,195","35,344,278"
Allegany,"1,723,115","1,503,822","1,440,041","1,455,053"
Bronx,"44,654,229","42,641,082","43,193,892","43,674,840"
Broome,"9,235,160","8,765,443","9,094,136","9,113,132"
Cattaraugus,"2,912,501","2,674,582","2,754,369","2,802,526"
Cayuga,"2,901,102","2,859,962","2,922,864","3,021,077"
Chautauqua,"4,826,497","4,417,196","4,533,912","4,624,016"
Chemung,"3,743,192","3,525,046","3,632,541","3,638,009"
Chenango,"2,332,107","2,145,803","2,122,158","2,150,842"
Clinton,"3,688,995","3,515,075","3,551,838","3,651,035"
Columbia,"2,387,520","2,359,070","2,431,593","2,488,410"
Cortland,"1,779,631","1,734,855","1,756,948","1,780,982"
Delaware,"2,102,985","1,973,430","2,045,734","2,079,137"
Dutchess,"14,476,090","13,730,581","14,690,159","15,155,173"
Erie,"58,833,333","57,185,300","59,608,198","61,513,170"
Essex,"1,633,581","1,589,630","1,692,277","1,651,212"
Franklin,"1,930,257","1,844,355","1,921,925","1,993,979"
Fulton,"1,903,639","1,830,046","1,811,181","1,834,847"
Genesee,"2,471,004","2,338,823","2,384,296","2,438,446"
Greene,"2,296,907","2,273,615","2,366,047","2,784,197"
Hamilton,"231,065","227,567","223,186","227,776"
Herkimer,"1,822,195","1,770,381","1,739,737","1,718,324"
Jefferson,"6,361,905","6,162,157","6,333,785","6,340,740"
Kings,"103,556,746","99,716,770","102,898,460","107,274,215"
Lewis,"1,106,714","1,052,892","1,095,018","1,180,637"
Livingston,"2,237,999","2,063,724","2,122,378","2,137,940"
Madison,"2,348,829","2,240,817","2,256,545","2,326,686"
Monroe,"48,455,221","46,524,210","48,488,895","49,325,244"
Montgomery,"1,954,214","1,860,695","1,877,330","1,954,212"
Nassau,"101,628,423","97,965,888","100,751,877","102,601,384"
New York,"745,306,426","722,111,514","766,795,323","780,965,530"
Niagara,"9,978,260","9,646,082","9,723,695","9,798,529"
Oneida,"11,125,823","10,838,100","11,005,641","11,097,174"
Onondaga,"31,894,110","30,946,468","31,746,331","31,913,695"
Ontario,"6,426,485","6,167,306","6,353,724","6,446,953"
Orange,"19,794,340","19,518,703","20,096,575","20,748,153"
Orleans,"1,384,416","1,351,700","1,390,217","1,328,192"
Oswego,"6,777,407","6,657,196","6,903,610","6,827,708"
Otsego,"2,691,556","2,582,149","2,604,486","2,579,245"
Putnam,"3,933,428","3,687,072","3,844,149","3,971,847"
Queens,"105,747,903","95,835,393","99,156,555","103,324,799"
Rensselaer,"8,853,377","9,220,885","9,802,754","9,980,840"
Richmond,"16,891,174","16,567,823","16,883,653","17,538,815"
Rockland,"17,565,261","17,045,445","18,207,178","18,445,913"
St. Lawrence,"4,714,866","4,662,546","4,719,282","4,820,196"
Saratoga,"12,417,181","11,513,882","12,203,500","12,639,040"
Schenectady,"8,914,297","8,720,610","9,235,873","9,427,097"
Schoharie,"1,067,472","971,293","963,860","974,589"
Schuyler,"533,198","527,764","508,685","516,188"
Seneca,"1,584,467","1,416,342","1,521,050","1,503,840"
Steuben,"4,596,156","4,387,431","4,448,016","4,658,072"
Suffolk,"100,944,828","99,172,008","102,403,209","105,050,030"
Sullivan,"3,123,148","2,985,097","3,143,164","3,376,060"
Tioga,"1,789,612","1,643,696","1,619,333","1,658,460"
Tompkins,"6,298,392","5,770,441","6,003,916","6,333,133"
Ulster,"7,630,419","7,196,814","7,429,326","7,659,189"
Warren,"4,558,773","4,432,596","4,654,786","4,664,386"
Washington,"1,932,759","1,941,973","2,020,092","2,055,239"
Wayne,"4,108,553","3,794,962","3,825,288","3,925,854"
Westchester,"85,918,413","85,979,355","86,266,760","88,166,111"
Wyoming,"1,778,533","1,730,340","1,818,142","1,862,189"
Yates,"960,245","931,062","1,029,388","1,069,392"
,,,,
North Carolina,"568,475,554","564,794,363","597,316,094","609,058,244"
Alamance,"6,295,903","6,302,066","6,674,694","6,674,713"
Alexander,"821,830","801,954","843,864","884,399"
Alleghany,"304,460","294,707","303,326","302,981"
Anson,"792,045","726,544","761,818","836,697"
Ashe,"782,670","763,773","763,359","777,808"
Avery,"612,114","607,124","631,571","630,170"
Beaufort,"1,927,381","1,829,679","1,876,283","1,861,636"
Bertie,"648,997","592,077","629,495","641,269"
Bladen,"1,375,685","1,337,207","1,415,802","1,413,795"
Brunswick,"4,899,292","5,294,981","5,377,103","5,646,957"
Buncombe,"14,943,297","13,915,210","14,891,710","15,336,616"
Burke,"2,581,404","2,523,368","2,598,472","2,615,833"
Cabarrus,"8,007,515","7,879,268","8,456,989","8,667,428"
Caldwell,"2,411,739","2,432,679","2,394,254","2,388,149"
Camden,"159,234","157,238","174,140","171,978"
Carteret,"2,558,719","2,389,267","2,559,203","2,554,588"
Caswell,"356,915","338,852","346,378","331,195"
Catawba,"8,957,162","8,669,478","9,060,348","9,241,514"
Chatham,"1,683,409","1,785,913","1,823,846","1,887,232"
Cherokee,"830,136","795,848","795,760","822,038"
Chowan,"583,304","528,268","576,747","589,147"
Clay,"225,598","214,153","212,641","215,643"
Cleveland,"4,387,772","4,172,634","4,212,383","4,463,065"
Columbus,"1,515,421","1,455,670","1,505,255","1,448,915"
Craven,"4,990,551","4,895,490","5,083,471","4,984,208"
Cumberland,"17,425,321","17,435,983","18,159,314","17,938,442"
Currituck,"778,200","754,018","832,050","824,134"
Dare,"2,409,190","2,230,256","2,541,999","2,592,624"
Davidson,"4,874,377","4,759,825","4,953,078","5,013,955"
Davie,"1,391,760","1,357,307","1,418,651","1,416,538"
Duplin,"1,984,333","1,934,612","2,186,078","2,126,936"
Durham,"34,487,992","36,028,859","38,590,175","39,750,581"
Edgecombe,"1,561,410","1,500,536","1,588,787","1,624,071"
Forsyth,"26,560,019","24,428,597","25,843,672","26,511,548"
Franklin,"1,623,074","1,714,504","1,754,881","1,784,003"
Gaston,"7,667,281","7,426,942","7,896,842","8,021,211"
Gates,"199,897","201,187","200,571","184,446"
Graham,"251,729","235,828","232,025","228,935"
Granville,"3,133,620","3,268,178","3,213,550","3,309,337"
Greene,"424,094","393,479","456,829","420,317"
Guilford,"33,938,539","32,772,163","34,071,090","34,424,943"
Halifax,"1,465,168","1,397,977","1,429,210","1,403,492"
Harnett,"2,627,942","2,580,007","2,722,946","2,716,268"
Haywood,"1,938,334","1,890,998","1,919,581","1,957,137"
Henderson,"4,123,719","4,063,336","4,230,099","4,385,797"
Hertford,"821,357","809,369","834,081","824,643"
Hoke,"1,063,668","1,141,910","1,109,627","1,162,881"
Hyde,"180,518","169,188","182,047","177,923"
Iredell,"9,412,804","9,654,810","10,429,295","10,581,864"
Jackson,"1,595,190","1,535,536","1,629,302","1,629,092"
Johnston,"6,983,478","7,246,607","7,501,701","7,726,394"
Jones,"198,202","156,751","224,438","219,935"
Lee,"2,703,479","2,708,057","2,784,443","2,815,923"
Lenoir,"2,815,366","2,654,240","2,793,629","2,866,713"
Lincoln,"2,912,539","2,922,988","3,067,916","3,167,278"
McDowell,"1,570,620","1,592,390","1,557,224","1,555,257"
Macon,"1,649,123","1,634,528","1,568,812","1,616,103"
Madison,"411,783","393,455","417,363","427,736"
Martin,"660,977","646,929","653,309","630,382"
Mecklenburg,"117,410,315","120,357,222","127,496,734","129,565,466"
Mitchell,"550,809","533,994","535,541","496,375"
Montgomery,"998,415","1,029,145","1,051,406","1,093,302"
Moore,"3,746,323","3,752,559","3,866,700","4,014,195"
Nash,"4,799,853","4,956,566","5,135,445","5,119,148"
New Hanover,"13,647,543","13,686,505","14,802,668","15,236,927"
Northampton,"539,948","505,780","529,271","505,790"
Onslow,"8,565,803","8,669,727","9,098,987","9,039,244"
Orange,"9,113,497","8,786,949","9,307,949","9,678,520"
Pamlico,"297,029","281,222","297,395","287,878"
Pasquotank,"1,529,224","1,528,868","1,588,603","1,609,108"
Pender,"1,533,736","1,505,062","1,749,311","1,777,186"
Perquimans,"266,726","262,480","285,961","283,881"
Person,"1,630,302","1,476,908","1,472,598","1,537,205"
Pitt,"9,293,680","8,989,861","9,243,013","9,399,400"
Polk,"504,319","476,358","509,081","532,755"
Randolph,"4,190,073","4,038,917","4,171,891","4,187,682"
Richmond,"1,870,653","1,851,558","1,797,047","2,002,769"
Robeson,"3,933,632","3,754,774","3,830,396","3,845,913"
Rockingham,"2,968,956","2,777,951","2,763,862","2,796,100"
Rowan,"5,428,022","5,392,606","5,680,431","5,809,935"
Rutherford,"1,839,857","1,753,386","1,800,395","1,834,792"
Sampson,"1,844,660","1,718,039","1,893,869","1,801,829"
Scotland,"1,176,241","1,111,197","1,155,541","1,184,957"
Stanly,"1,818,332","1,737,090","1,812,086","1,869,735"
Stokes,"1,069,065","984,480","1,111,689","1,208,306"
Surry,"2,510,976","2,398,708","2,546,133","2,526,710"
Swain,"680,898","673,436","695,008","701,469"
Transylvania,"1,766,846","1,724,594","1,712,488","1,795,756"
Tyrrell,"116,790","111,825","115,047","102,683"
Union,"8,022,406","7,777,939","8,307,184","8,591,625"
Vance,"1,232,255","1,179,455","1,264,306","1,265,122"
Wake,"83,740,531","83,777,131","91,399,448","94,675,594"
Warren,"303,391","297,914","320,034","316,794"
Washington,"267,826","258,515","289,942","276,803"
Watauga,"2,255,512","2,169,954","2,308,784","2,369,277"
Wayne,"4,868,486","4,745,323","4,947,218","4,950,904"
Wilkes,"2,400,563","2,348,265","2,437,381","2,459,893"
Wilson,"3,897,022","3,827,270","3,780,162","3,740,054"
Yadkin,"906,873","856,270","940,218","938,147"
Yancey,"438,208","421,361","413,931","401,430"
,,,,
North Dakota,"59,142,252","55,699,059","55,401,009","54,798,693"
Adams,"149,670","106,214","98,487","93,509"
Barnes,"649,638","625,382","621,060","637,845"
Benson,"233,786","246,694","247,810","283,226"
Billings,"175,514","253,032","169,438","105,082"
Bottineau,"428,735","416,988","392,421","457,280"
Bowman,"237,787","230,707","218,459","179,713"
Burke,"213,293","222,757","185,267","204,760"
Burleigh,"5,775,700","5,436,900","5,743,887","5,697,868"
Cass,"13,322,527","12,866,335","13,498,593","13,496,845"
Cavalier,"335,030","389,653","332,266","412,145"
Dickey,"366,830","305,637","308,014","337,016"
Divide,"178,620","190,309","166,909","163,055"
Dunn,"1,309,767","1,288,178","1,244,735","1,096,191"
Eddy,"132,167","124,559","113,333","124,381"
Emmons,"143,717","186,487","196,808","220,095"
Foster,"227,585","252,350","256,577","279,504"
Golden Valley,"75,583","74,896","79,405","71,579"
Grand Forks,"4,129,248","3,943,290","3,956,229","3,988,871"
Grant,"91,424","106,134","94,654","85,697"
Griggs,"146,885","142,533","150,049","161,559"
Hettinger,"84,399","111,250","82,921","91,127"
Kidder,"121,196","128,831","140,786","138,682"
LaMoure,"291,889","253,932","233,671","259,698"
Logan,"106,514","100,048","109,624","115,484"
McHenry,"240,176","260,203","284,277","257,407"
McIntosh,"146,390","147,435","162,227","149,185"
McKenzie,"4,009,001","3,588,977","3,266,054","2,614,429"
McLean,"778,093","790,449","825,132","750,849"
Mercer,"1,013,277","960,689","850,964","840,375"
Morton,"1,428,841","1,455,483","1,415,377","1,352,193"
Mountrail,"1,858,377","1,787,470","1,745,646","1,427,599"
