city,population,2020,2021,2022,2023
"Buckeye city, Arizona","91,539","93,761","101,708","105,544","108,909"
"Downey city, California","114,354","113,964","111,634","109,932","108,816"
"Sugar Land city, Texas","111,026","110,824","109,629","109,414","108,515"
"Costa Mesa city, California","111,923","111,781","110,789","109,548","108,354"
"Conroe city, Texas","89,995","91,255","95,513","101,559","108,248"
"Spokane Valley city, Washington","102,983","103,531","106,012","107,377","108,235"
"Davie town, Florida","105,704","106,030","105,870","106,673","107,799"
"Hillsboro city, Oregon","106,439","106,990","106,914","107,281","107,730"
"Jurupa Valley city, California","105,052","105,356","106,874","107,113","107,321"
"Centennial city, Colorado","108,425","108,196","107,384","105,944","106,883"
"Boulder city, Colorado","108,254","108,123","104,008","105,620","105,898"
"Dearborn city, Michigan","109,961","109,620","108,408","106,882","105,811"
"Edinburg city, Texas","100,265","100,711","102,971","104,299","105,799"
"Sandy Springs city, Georgia","108,067","108,167","107,295","107,634","105,793"
"Green Bay city, Wisconsin","107,371","107,271","106,387","106,121","105,744"
"West Covina city, California","109,503","109,153","106,899","105,703","105,617"
"Brockton city, Massachusetts","105,659","105,511","105,542","104,891","104,890"
"St. George city, Utah","95,344","96,039","100,210","102,561","104,578"
"Bend city, Oregon","99,210","99,674","102,391","103,219","104,557"
"Renton city, Washington","106,839","106,719","105,467","104,067","104,491"
"Lee's Summit city, Missouri","101,123","101,621","102,883","103,409","104,184"
"Fishers city, Indiana","99,046","99,481","101,444","102,150","104,094"
"El Monte city, California","109,445","109,087","106,841","105,052","103,794"
"South Bend city, Indiana","103,436","103,335","103,137","103,126","103,395"
"Rialto city, California","104,047","104,077","104,235","103,853","103,391"
"El Cajon city, California","106,187","106,075","105,198","104,042","102,991"
"Inglewood city, California","107,765","107,393","105,307","103,847","102,865"
"Burbank city, California","107,332","107,005","104,925","103,507","102,755"
"Wichita Falls city, Texas","102,288","102,480","102,803","102,699","102,691"
"Vacaville city, California","102,386","102,092","101,927","101,956","102,526"
"Carmel city, Indiana","99,752","99,905","101,045","102,128","102,296"
"Palm Coast city, Florida","89,248","89,739","93,805","98,455","102,113"
"Fayetteville city, Arkansas","94,312","94,783","97,360","99,688","101,680"
"Quincy city, Massachusetts","101,614","101,482","101,163","101,814","101,597"
"San Mateo city, California","105,665","105,656","102,913","101,567","101,327"
"Chico city, California","103,277","102,755","100,508","101,758","101,301"
"Lynn city, Massachusetts","101,264","101,103","101,001","100,879","101,241"
"Albany city, New York","99,239","98,682","100,710","100,884","101,228"
"Yuma city, Arizona","97,285","97,540","98,256","99,589","100,858"
"New Bedford city, Massachusetts","101,088","100,993","100,991","100,633","100,695"
"Suffolk city, Virginia","94,370","94,750","96,337","98,426","100,659"
"Hesperia city, California","99,838","99,984","100,463","100,489","100,633"
"Davenport city, Iowa","101,727","101,651","101,041","100,339","100,354"
"Boca Raton city, Florida","97,436","98,246","98,810","99,710","99,974"
"Daly City city, California","104,973","104,858","101,856","100,329","99,833"
"San Angelo city, Texas","99,908","100,066","99,404","99,126","99,262"
"Deltona city, Florida","93,701","94,044","95,459","97,305","98,739"
"Longmont city, Colorado","98,905","99,188","99,722","98,809","98,630"
"Vista city, California","98,411","98,508","98,942","98,881","98,344"
"Kenosha city, Wisconsin","99,983","99,909","99,238","98,382","98,211"
"Edmond city, Oklahoma","94,427","94,748","95,374","96,339","98,103"
"Norwalk city, California","102,763","102,405","100,479","99,079","98,078"
"Tracy city, California","93,119","93,620","95,564","96,783","98,010"
"Federal Way city, Washington","101,024","100,988","99,324","97,881","97,701"
"Fort Myers city, Florida","86,404","87,279","93,302","95,930","97,372"
"Roanoke city, Virginia","100,014","99,891","98,700","97,657","97,171"
"Beaverton city, Oregon","97,509","97,510","98,462","97,051","96,945"
"Sunrise city, Florida","97,311","97,112","96,218","96,300","96,808"
"Portsmouth city, Virginia","97,912","97,955","97,652","96,954","96,793"
"Yakima city, Washington","96,975","97,063","96,794","96,825","96,750"
"Plantation city, Florida","91,748","92,052","93,169","95,994","96,548"
"Georgetown city, Texas","67,464","68,749","75,995","87,062","96,312"
