city,population,2020,2021,2022,2023
"Edgewater city, Florida","23,111","23,143","23,285","23,523","23,636"
"Groveland city, Florida","18,513","18,884","20,376","22,354","23,628"
"Munster town, Indiana","23,896","23,887","23,770","23,664","23,614"
"Fountain Hills town, Arizona","23,820","23,875","23,857","23,779","23,611"
"Coralville city, Iowa","22,331","22,333","22,937","23,172","23,596"
"Clinton city, Utah","23,396","23,465","23,665","23,534","23,588"
"Melissa city, Texas","13,902","14,336","16,956","19,329","23,571"
"Burlington city, Iowa","23,988","23,932","23,730","23,581","23,565"
"North Salt Lake city, Utah","23,018","23,088","23,466","23,609","23,560"
"Highland town, Indiana","23,981","23,962","23,803","23,620","23,525"
"Kankakee city, Illinois","24,075","24,005","23,805","23,585","23,503"
"Webster Groves city, Missouri","24,000","23,992","23,848","23,623","23,449"
"Jacksonville Beach city, Florida","23,830","23,813","23,547","23,530","23,447"
"Kenmore city, Washington","23,914","23,891","23,567","23,481","23,391"
"Elmwood Park village, Illinois","24,522","24,423","23,960","23,553","23,369"
"San Fernando city, California","23,963","23,946","23,688","23,482","23,364"
"White Bear Lake city, Minnesota","24,870","24,783","24,160","23,585","23,363"
"Pottstown borough, Pennsylvania","23,438","23,425","23,451","23,387","23,349"
"Muscatine city, Iowa","23,799","23,745","23,480","23,436","23,341"
"Loves Park city, Illinois","23,405","23,404","23,344","23,314","23,335"
"Rolling Meadows city, Illinois","24,195","24,101","23,777","23,507","23,329"
"Mustang city, Oklahoma","19,887","20,125","21,109","22,242","23,270"
"Otsego city, Minnesota","19,966","20,174","21,429","22,433","23,241"
"Watertown city, South Dakota","22,658","22,679","22,796","23,031","23,230"
"Lisle village, Illinois","23,717","23,671","23,477","23,279","23,222"
"DeBary city, Florida","22,255","22,308","22,580","22,963","23,209"
"Waynesboro city, Virginia","22,196","22,279","22,606","22,799","23,182"
"Duncan city, Oklahoma","22,673","22,652","22,775","22,992","23,170"
"Freeport city, Illinois","23,967","23,896","23,655","23,376","23,136"
"Duarte city, California","21,723","21,666","21,242","21,723","23,131"
"Waxhaw town, North Carolina","20,542","20,779","21,714","22,536","23,073"
"Oakdale city, California","23,186","23,216","23,282","23,174","23,045"
"Columbus city, Mississippi","24,069","23,995","23,607","23,305","23,035"
"Albertville city, Alabama","22,392","22,409","22,535","22,726","23,031"
"Maple Heights city, Ohio","23,687","23,638","23,387","23,128","22,984"
"Sapulpa city, Oklahoma","21,922","21,987","22,256","22,569","22,981"
"Hudson city, Ohio","23,105","23,078","23,011","22,915","22,968"
"Middleton city, Wisconsin","21,829","21,859","22,573","22,310","22,967"
"Rock Springs city, Wyoming","23,523","23,492","23,177","23,030","22,954"
"Trotwood city, Ohio","23,076","23,076","23,040","22,939","22,940"
"Watauga city, Texas","23,657","23,597","23,303","23,064","22,934"
"Keene city, New Hampshire","23,038","23,051","22,729","22,929","22,917"
"Suwanee city, Georgia","20,813","21,015","21,977","22,517","22,913"
"Ozark city, Missouri","21,279","21,403","21,978","22,516","22,907"
"Prairie Village city, Kansas","22,955","22,966","22,963","22,946","22,900"
"Maywood village, Illinois","23,509","23,410","23,140","22,881","22,880"
"Champlin city, Minnesota","23,915","23,855","23,451","23,118","22,856"
"Garden City village, New York","23,259","22,773","23,082","22,839","22,835"
"Bonney Lake city, Washington","22,466","22,824","22,930","22,881","22,835"
"Marina city, California","22,350","22,287","21,989","22,259","22,833"
"Mesquite city, Nevada","20,465","20,616","21,190","21,979","22,786"
"Hopewell city, Virginia","23,031","23,009","23,073","22,790","22,752"
"Radcliff city, Kentucky","23,022","23,025","23,048","22,938","22,749"
"Portsmouth city, New Hampshire","21,960","21,992","22,358","22,686","22,733"
"Watertown city, Wisconsin","22,935","22,935","22,931","22,784","22,692"
"Machesney Park village, Illinois","22,941","22,932","22,790","22,699","22,630"
"North Plainfield borough, New Jersey","22,806","22,748","22,712","22,634","22,566"
"Central Falls city, Rhode Island","22,582","22,547","22,530","22,492","22,543"
"Christiansburg town, Virginia","23,352","23,304","22,458","22,542","22,542"
"Hammond city, Louisiana","19,623","19,700","20,516","21,555","22,527"
"North Platte city, Nebraska","23,405","23,307","22,980","22,691","22,523"
"Roselle village, Illinois","22,918","22,921","22,698","22,509","22,508"
"Greenwood city, South Carolina","22,558","22,560","22,429","22,445","22,498"
"La Porte city, Indiana","22,449","22,413","22,420","22,226","22,486"
"Acworth city, Georgia","22,464","22,425","22,346","22,301","22,379"
"Lino Lakes city, Minnesota","21,410","21,474","21,885","22,048","22,376"
"Big Spring city, Texas","26,310","26,273","26,014","22,534","22,373"
"Biddeford city, Maine","22,546","22,539","22,530","22,463","22,367"
"Summit city, New Jersey","22,730","22,638","22,573","22,321","22,344"
"Roselle borough, New Jersey","22,693","22,604","22,475","22,308","22,342"
"Carlisle borough, Pennsylvania","20,115","20,146","22,097","22,132","22,341"
"Oxford city, Ohio","23,044","23,047","19,662","20,997","22,340"
"Laguna Beach city, California","23,031","22,997","22,783","22,547","22,332"
"Evans city, Colorado","22,176","22,285","22,357","22,623","22,326"
"Bloomingdale village, Illinois","22,377","22,354","22,458","22,343","22,298"
"Hialeah Gardens city, Florida","23,070","22,965","22,560","22,359","22,286"
"Battle Ground city, Washington","20,757","20,864","21,168","21,625","22,285"
"Columbia Heights city, Minnesota","21,963","21,944","21,870","22,253","22,278"
"Sanford city, Maine","21,976","21,972","22,183","22,243","22,251"
"Chambersburg borough, Pennsylvania","21,900","21,886","22,153","22,188","22,245"
"Ruston city, Louisiana","22,163","22,155","22,255","22,225","22,233"
"North Ogden city, Utah","20,921","21,042","21,493","21,850","22,233"
"New Brighton city, Minnesota","23,456","23,463","22,918","22,407","22,228"
"Calabasas city, California","23,239","23,246","22,918","22,519","22,227"
"Clarksville town, Indiana","22,344","22,319","22,153","21,784","22,208"
"Clemmons village, North Carolina","21,173","21,233","21,522","21,853","22,159"
"Hastings city, Minnesota","22,160","22,156","22,034","21,710","22,121"
"Helena city, Alabama","20,955","21,091","21,578","21,896","22,117"
"Millbrae city, California","23,213","23,138","22,346","22,050","22,087"
"Sedalia city, Missouri","21,735","21,745","21,847","21,971","22,086"
"Oxford city, Alabama","22,091","22,091","22,077","22,004","22,078"
"Snellville city, Georgia","20,574","20,596","20,863","22,025","22,067"
"Corcoran city, California","22,355","22,708","22,624","22,881","22,044"
"East Peoria city, Illinois","22,482","22,433","22,274","22,084","22,012"
"Shelby city, North Carolina","21,917","21,958","21,904","21,862","22,010"
"East Ridge city, Tennessee","22,161","22,188","22,068","21,925","21,961"
"Montgomery village, Illinois","20,285","20,435","21,356","21,850","21,955"
"Stephenville city, Texas","20,961","21,112","21,421","21,607","21,946"
"Shafter city, California","19,958","20,067","20,249","21,015","21,915"
"Crystal city, Minnesota","23,330","23,245","22,740","22,273","21,906"
"Chillicothe city, Ohio","22,049","22,038","21,998","21,901","21,895"
"Klamath Falls city, Oregon","21,783","21,819","22,010","21,966","21,888"
"Sunny Isles Beach city, Florida","22,342","22,257","22,119","21,987","21,885"
"Bryant city, Arkansas","20,660","20,763","21,079","21,507","21,877"
"Junction City city, Kansas","22,932","22,947","22,537","22,162","21,856"
"Dickinson city, Texas","21,421","21,455","21,704","21,752","21,834"
"Pleasant Prairie village, Wisconsin","21,254","21,338","21,369","21,810","21,818"
"Hanahan city, South Carolina","20,322","20,622","21,428","21,455","21,796"
"Boerne city, Texas","17,865","18,084","19,393","20,733","21,774"
"Mountain Brook city, Alabama","22,551","22,508","22,242","21,941","21,737"
"Villa Park village, Illinois","22,259","22,206","22,007","21,811","21,727"
"Cudahy city, California","22,804","22,719","22,232","21,905","21,723"
"West St. Paul city, Minnesota","20,601","20,558","20,872","21,782","21,722"
"Lebanon city, Ohio","20,851","20,864","21,245","21,481","21,699"
"Darien city, Illinois","22,049","21,999","21,804","21,604","21,698"
"Altoona city, Iowa","19,593","19,674","20,764","21,512","21,698"
"Lindenwold borough, New Jersey","21,641","21,608","21,595","21,586","21,685"
"Seymour city, Indiana","21,572","21,629","21,577","21,584","21,666"
"Yucca Valley town, California","21,740","21,766","21,829","21,749","21,664"
"Milwaukie city, Oregon","21,135","21,149","21,037","21,368","21,594"
"Carbondale city, Illinois","21,925","21,890","21,769","21,725","21,592"
"Imperial city, California","20,348","20,469","21,163","21,516","21,591"
"Pascagoula city, Mississippi","22,001","21,969","21,887","21,631","21,582"
"Alliance city, Ohio","21,668","21,630","21,446","21,481","21,525"
"Mountlake Terrace city, Washington","21,290","21,283","21,512","21,559","21,516"
"Blue Island city, Illinois","22,561","22,468","22,038","21,668","21,494"
"Terrell city, Texas","17,481","17,658","18,719","20,091","21,480"
"Birmingham city, Michigan","21,816","21,761","21,629","21,509","21,434"
"New Castle city, Pennsylvania","21,936","21,902","21,756","21,529","21,413"
"American Canyon city, California","21,841","21,799","21,810","21,611","21,347"
"North Liberty city, Iowa","20,482","20,500","20,801","21,324","21,345"
"Willmar city, Minnesota","21,021","21,032","21,088","21,252","21,335"
"Montrose city, Colorado","20,302","20,378","20,714","21,025","21,333"
"Del City city, Oklahoma","21,811","21,802","21,588","21,405","21,312"
"South Euclid city, Ohio","21,889","21,843","21,619","21,395","21,264"
"Elmwood Park borough, New Jersey","21,426","21,364","21,298","21,229","21,256"
"Rocky River city, Ohio","21,759","21,728","21,552","21,340","21,236"
"Port Hueneme city, California","21,958","21,979","21,760","21,427","21,217"
"Golden Valley city, Minnesota","22,554","22,475","21,989","21,549","21,211"
"Arlington city, Washington","19,909","20,042","20,711","21,116","21,206"
"Mineola village, New York","20,806","20,845","21,411","21,247","21,169"
"Anniston city, Alabama","21,563","21,515","21,349","21,181","21,167"
"Ashland city, Kentucky","21,627","21,589","21,399","21,317","21,154"
"Tukwila city, Washington","21,787","21,754","21,678","21,377","21,135"
"Alton city, Texas","18,240","18,378","18,869","19,663","21,130"
"Geneva city, Illinois","21,384","21,350","21,284","21,218","21,129"
"Covington city, Washington","20,774","20,863","20,825","21,371","21,125"
"Carrboro town, North Carolina","21,291","21,278","21,176","21,226","21,103"
"South Lake Tahoe city, California","21,336","21,304","21,447","21,234","21,079"
"Marquette city, Michigan","20,609","20,604","20,113","20,749","21,079"
"Tavares city, Florida","19,001","19,017","19,751","20,368","21,061"
"Ashland city, Oregon","21,380","21,405","21,639","21,295","21,061"
"Arnold city, Missouri","20,841","20,853","20,850","20,825","21,059"
"South Burlington city, Vermont","20,280","20,293","20,364","20,631","21,043"
"Hays city, Kansas","21,116","21,126","21,058","21,064","21,040"
"St. Michael city, Minnesota","18,223","18,287","19,026","19,995","21,034"
"Northfield city, Minnesota","20,788","20,784","20,801","20,896","21,020"
"Germantown village, Wisconsin","20,907","20,882","20,949","21,024","21,020"
"Culpeper town, Virginia","20,084","20,167","20,553","20,750","21,012"
"Mukilteo city, Washington","21,535","21,516","21,345","21,122","21,011"
"Secaucus town, New Jersey","22,186","22,037","21,305","21,157","21,005"
"Tullahoma city, Tennessee","20,337","20,392","20,657","20,809","21,001"
"Gardner city, Massachusetts","21,282","21,221","21,022","20,946","20,974"
"Saco city, Maine","20,380","20,418","20,712","20,883","20,960"
"Grayslake village, Illinois","21,257","21,216","21,144","20,999","20,954"
"Fort Walton Beach city, Florida","20,933","20,939","20,954","21,011","20,925"
"Murphy city, Texas","21,006","21,082","21,211","21,179","20,920"
"Frankfort village, Illinois","20,303","20,315","20,518","20,687","20,907"
"Zephyrhills city, Florida","17,187","17,323","18,244","19,294","20,883"
"Mount Pleasant city, Michigan","21,700","21,729","21,313","21,073","20,859"
"East Moline city, Illinois","21,370","21,322","21,098","20,873","20,806"
"Elko city, Nevada","20,545","20,559","20,628","20,733","20,785"
"Howard village, Wisconsin","19,952","20,006","20,211","20,461","20,775"
"Park Forest village, Illinois","21,698","21,614","21,252","20,915","20,763"
"Piqua city, Ohio","20,378","20,408","20,488","20,628","20,747"
"Murrysville municipality, Pennsylvania","20,991","20,961","20,879","20,721","20,745"
"Mill Creek city, Washington","20,933","20,910","21,003","20,854","20,742"
"Baldwin borough, Pennsylvania","21,508","21,474","21,244","20,946","20,708"
"New Hope city, Minnesota","21,986","21,909","21,460","21,044","20,705"
"Forest Lake city, Minnesota","20,611","20,701","20,640","20,869","20,685"
"South St. Paul city, Minnesota","20,756","20,712","20,543","20,501","20,664"
"Hyattsville city, Maryland","21,188","21,139","20,916","20,677","20,662"
"Greenfield city, California","18,938","18,951","19,773","20,526","20,634"
"Pleasantville city, New Jersey","20,627","20,594","20,603","20,641","20,613"
"Shelbyville city, Indiana","20,116","20,127","20,167","20,289","20,609"
"Painesville city, Ohio","20,295","20,286","20,549","20,619","20,605"
"Bartow city, Florida","19,521","19,532","19,741","19,918","20,584"
"Morristown town, New Jersey","20,178","20,126","20,281","20,360","20,571"
"Westbrook city, Maine","20,404","20,434","20,657","20,631","20,564"
"Westminster city, Maryland","20,134","20,137","20,280","20,410","20,536"
"Harrison town, New Jersey","19,458","19,480","19,332","19,614","20,520"
"Pittsburg city, Kansas","20,646","20,623","20,605","20,695","20,504"
"Lynn Haven city, Florida","18,719","18,672","19,069","20,058","20,501"
"South Holland village, Illinois","21,466","21,381","20,991","20,641","20,483"
"Portland city, Texas","20,433","20,409","20,612","20,441","20,481"
"Alamo city, Texas","19,512","19,661","19,999","20,311","20,460"
"Gallup city, New Mexico","21,909","21,805","21,456","20,962","20,451"
"Lockport city, New York","20,872","20,825","20,732","20,561","20,436"
"Parma Heights city, Ohio","20,846","20,804","20,589","20,381","20,431"
"Rolla city, Missouri","19,937","19,926","20,100","20,310","20,423"
"Dolton village, Illinois","21,413","21,329","20,927","20,575","20,410"
"Sulphur city, Louisiana","21,820","21,814","20,659","20,325","20,400"
"Louisville city, Colorado","21,214","21,174","20,841","20,427","20,390"
"Claremore city, Oklahoma","19,581","19,625","19,882","20,219","20,385"
"Bethany city, Oklahoma","20,823","20,819","20,632","20,462","20,369"
"Sweetwater city, Florida","19,363","19,271","18,921","19,574","20,352"
"Kingsland city, Georgia","18,243","18,328","18,892","19,883","20,343"
"Libertyville village, Illinois","20,578","20,558","20,527","20,420","20,332"
"Sidney city, Ohio","20,591","20,547","20,441","20,293","20,309"
"North Myrtle Beach city, South Carolina","18,816","18,910","19,321","19,851","20,303"
"Durant city, Oklahoma","18,586","18,721","19,096","19,568","20,296"
"Knightdale town, North Carolina","19,475","19,457","19,570","19,670","20,275"
"Golden city, Colorado","20,410","20,394","20,702","20,584","20,242"
"Adrian city, Michigan","20,646","20,617","20,501","20,390","20,238"
"Punta Gorda city, Florida","19,468","19,524","19,972","20,604","20,227"
"Highland city, Utah","19,357","19,380","19,630","19,913","20,217"
"Mebane city, North Carolina","17,728","18,231","18,795","19,675","20,212"
"South Milwaukee city, Wisconsin","20,799","20,775","20,539","20,298","20,211"
"Manor city, Texas","13,658","14,112","18,126","19,004","20,209"
"Angleton city, Texas","19,426","19,427","19,403","19,600","20,206"
"Vicksburg city, Mississippi","21,560","21,465","20,856","20,384","20,192"
"Santa Fe Springs city, California","19,211","19,144","18,934","19,345","20,174"
"Republic city, Missouri","18,761","18,897","19,233","19,715","20,144"
"Crest Hill city, Illinois","20,456","20,415","20,348","20,169","20,118"
"Palisades Park borough, New Jersey","20,288","20,285","20,172","20,085","20,102"
"Port Angeles city, Washington","19,964","20,007","20,293","20,160","20,101"
"Monroe city, Michigan","20,466","20,451","20,416","20,218","20,089"
"Fayetteville city, Georgia","18,944","19,017","19,345","19,670","20,083"
"Sand Springs city, Oklahoma","19,872","19,902","19,952","20,022","20,075"
"Lynbrook village, New York","20,430","20,360","20,305","20,149","20,071"
"Universal City city, Texas","19,715","19,753","19,851","19,994","20,028"
"Auburndale city, Florida","15,605","15,746","17,371","18,590","20,011"
"Sherwood city, Oregon","20,451","20,424","20,313","20,032","19,957"
"Forest Park city, Ohio","20,194","20,170","20,046","19,872","19,839"
"Mayfield Heights city, Ohio","20,347","20,312","20,102","19,906","19,793"
"Lomita city, California","20,945","20,868","20,415","20,048","19,782"
"Whitehall city, Ohio","20,127","20,104","20,124","19,915","19,727"
"La Cañada Flintridge city, California","20,571","20,497","20,048","19,726","19,538"
"Mamaroneck village, New York","20,197","20,075","19,955","19,681","19,533"
"Agoura Hills city, California","20,295","20,228","19,795","19,541","19,474"
"Oroville city, California","20,106","19,995","19,892","19,611","19,449"
"Monroe city, Washington","19,821","20,029","19,787","19,378","19,447"
"Plainview city, Texas","20,183","20,140","19,897","19,600","19,420"
"Harvey city, Illinois","20,330","20,251","19,874","19,545","19,397"
"Ypsilanti city, Michigan","20,655","20,605","19,185","19,739","19,393"
"Albany city, California","20,271","20,225","19,814","19,349","19,097"
"Coronado city, California","20,196","18,150","19,046","18,360","18,437"
