"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"1600000US2941348","Lee's Summit city, Missouri","0.4173","0.0251",
"1600000US2954074","O'Fallon city, Missouri","0.4128","0.0284",
"1600000US2964082","St. Charles city, Missouri","0.4036","0.0288",
"1600000US2964550","St. Joseph city, Missouri","0.4983","0.0781",
"1600000US2965000","St. Louis city, Missouri","0.4958","0.0218",
"1600000US2970000","Springfield city, Missouri","0.4508","0.0222",
"1600000US3006550","Billings city, Montana","0.4210","0.0303",
"1600000US3050200","Missoula city, Montana","0.4690","0.0511",
"1600000US3128000","Lincoln city, Nebraska","0.4639","0.0160",
"1600000US3137000","Omaha city, Nebraska","0.4737","0.0148",
"1600000US3223770","Enterprise CDP, Nevada","0.4398","0.0253",
"1600000US3231900","Henderson city, Nevada","0.4692","0.0144",
"1600000US3240000","Las Vegas city, Nevada","0.4788","0.0146",
"1600000US3251800","North Las Vegas city, Nevada","0.4346","0.0251",
"1600000US3254600","Paradise CDP, Nevada","0.4523","0.0278",
"1600000US3260600","Reno city, Nevada","0.4892","0.0201",
"1600000US3268400","Sparks city, Nevada","0.4099","0.0313",
"1600000US3268585","Spring Valley CDP, Nevada","0.4680","0.0328",
"1600000US3271400","Sunrise Manor CDP, Nevada","0.4277","0.0267",
"1600000US3345140","Manchester city, New Hampshire","0.4464","0.0334",
"1600000US3350260","Nashua city, New Hampshire","0.4165","0.0229",
"1600000US3403580","Bayonne city, New Jersey","0.4784","0.0575",
"1600000US3410000","Camden city, New Jersey","0.4893","0.0397",
"1600000US3413690","Clifton city, New Jersey","0.4174","0.0299",
"1600000US3419390","East Orange city, New Jersey","0.5390","0.0648",
"1600000US3421000","Elizabeth city, New Jersey","0.4378","0.0344",
"1600000US3436000","Jersey City city, New Jersey","0.4916","0.0208",
"1600000US3438580","Lakewood CDP, New Jersey","0.4837","0.0380",
"1600000US3451000","Newark city, New Jersey","0.4854","0.0542",
"1600000US3456550","Passaic city, New Jersey","0.4827","0.0342",
"1600000US3457000","Paterson city, New Jersey","0.4781","0.0269",
"1600000US3473110","Toms River CDP, New Jersey","0.4464","0.0522",
"1600000US3474000","Trenton city, New Jersey","0.4990","0.0375",
"1600000US3474630","Union City city, New Jersey","0.4301","0.0291",
